NAME,population,median_household_income,poverty_universe,below_poverty,gini_index,tenure_universe,renter_occupied,median_gross_rent,median_age,race_universe,race_white,race_black,race_aian,race_asian,hispanic_universe,hispanic,commute_universe,commute_drove_alone,commute_carpool,commute_public_transit,commute_worked_from_home,labor_force,unemployed,households,households_no_vehicle,zip code tabulation area,poverty_rate,unemployment_rate,renter_share,no_vehicle_share,race_white_share,race_black_share,race_aian_share,race_asian_share,hispanic_share,drive_alone_share,public_transit_share,worked_from_home_share
ZCTA5 20011,67434,110309,67034,8419,0.4813,27774,12164,1637,38.0,67434,14024,33738,229,1357,67434,15163,33457,12291,2143,6154,780,34059,2591,27774,6434,20011,0.12559298266551303,0.07607387181068147,0.43796356304457407,0.23165550514870023,0.2079663077972536,0.5003114156063707,0.0033959130408992497,0.020123379897381142,0.2248568971142154,0.3673670681770631,0.18393759153540365,0.023313506889440175
ZCTA5 20012,17519,121418,17395,1211,0.493,7155,2497,1701,40.2,17519,3986,9311,136,224,17519,3228,9038,3210,536,1704,242,9220,524,7155,1410,20012,0.06961770623742455,0.05683297180043384,0.3489867225716282,0.1970649895178197,0.22752440207774416,0.5314801073120612,0.007763000171242651,0.012786117929105542,0.1842570922997888,0.35516707236114187,0.18853728701040054,0.026775835361805708
ZCTA5 20015,15653,250001,15401,385,0.4645,6337,1437,2234,45.7,15653,10782,1174,24,1002,15653,1504,7807,3122,211,847,179,7837,244,6337,960,20015,0.024998376728783845,0.031134362638764835,0.2267634527378886,0.15149124191257693,0.6888136459464639,0.07500159713792884,0.0015332524116782726,0.06401328818756788,0.09608381779850508,0.3998975278596132,0.10849237863455873,0.022928141411553735
ZCTA5 20016,32730,178920,29555,2581,0.5306,14294,5067,2358,42.7,32730,24718,2168,21,1913,32730,2904,15644,5510,538,2043,849,15839,618,14294,2419,20016,0.0873287091862629,0.039017614748405836,0.35448439904855183,0.16923184552959283,0.7552092881148793,0.0662389245340666,0.0006416131989000917,0.05844790711885121,0.08872593950504125,0.3522117105599591,0.13059319867041677,0.054270007670672464
ZCTA5 20017,21208,106300,20638,2801,0.4697,9037,3836,1839,36.9,21208,6217,10822,38,1162,21208,2316,10975,3766,614,2427,354,11047,608,9037,1741,20017,0.13572051555383274,0.055037566760206394,0.4244771494965143,0.19265242890339715,0.2931440965673331,0.5102791399471898,0.0017917766880422483,0.0547906450396077,0.10920407393436439,0.34314350797266513,0.2211389521640091,0.03225512528473804
ZCTA5 20018,19562,90639,19290,2882,0.5039,9021,4319,1295,39.6,19562,3761,13141,367,166,19562,1892,10035,4552,317,1910,229,10300,891,9021,2544,20018,0.14940383618455158,0.08650485436893204,0.4787717547943687,0.2820086464915198,0.19226050506083223,0.6717615785706983,0.01876086289745425,0.008485839893671404,0.0967181269808813,0.4536123567513702,0.19033383158943698,0.022820129546586947
ZCTA5 20019,63380,58296,62927,16467,0.5489,26254,15277,1222,34.4,63380,1727,55168,80,157,63380,5310,24585,10885,1700,5929,315,25014,3992,26254,9570,20019,0.26168417372511005,0.15959062924762132,0.5818922830806734,0.3645158832939743,0.02724834332597034,0.8704323130325023,0.0012622278321236984,0.002477122120542758,0.08378037235721048,0.44274964409192596,0.2411633109619687,0.012812690665039659
ZCTA5 20020,53005,54032,52373,15724,0.5285,22943,16015,1306,33.7,53005,1537,48137,172,281,53005,1619,20244,8035,1593,5198,130,20848,2819,22943,9187,20020,0.30023103507532506,0.1352168073676132,0.6980342588153249,0.4004271455345857,0.028997264409018016,0.9081596075841901,0.0032449768889727384,0.005301386661635695,0.030544288274691068,0.3969077257459,0.25676743726536255,0.00642165579924916
ZCTA5 20024,15888,107411,15810,2505,0.4651,10097,6847,2139,35.5,15888,6934,6292,19,799,15888,1286,10199,2428,192,2016,1138,10193,606,10097,4346,20024,0.15844402277039848,0.05945256548611792,0.6781222145191641,0.4304248786768347,0.4364300100704935,0.3960221550855992,0.0011958710976837865,0.050289526686807653,0.08094159113796576,0.23806255515246594,0.19766643788606725,0.11157956662417884
ZCTA5 20032,40920,49139,39821,11895,0.5449,17651,13666,1317,34.3,40920,3263,33140,84,230,40920,2153,15109,6131,966,4662,475,14306,2876,17651,7558,20032,0.2987117350141885,0.20103453096602825,0.7742337544615036,0.4281910373349952,0.07974095796676442,0.8098729227761485,0.0020527859237536657,0.005620723362658847,0.05261485826001955,0.4057846316764842,0.3085578132239063,0.03143821563306638
ZCTA5 20036,4605,99832,4526,656,0.493,3885,2399,2263,35.1,4605,3035,290,29,757,4605,442,3575,217,9,912,1042,3585,68,3885,2719,20036,0.1449403446752099,0.01896792189679219,0.6175032175032175,0.6998712998712999,0.6590662323561346,0.06297502714440825,0.006297502714440825,0.16438653637350706,0.09598262757871878,0.0606993006993007,0.2551048951048951,0.29146853146853147
ZCTA5 20037,13156,111153,10833,1627,0.5138,7579,5174,2538,30.4,13156,8652,1143,25,1456,13156,1584,7983,699,37,1119,2671,8048,451,7579,4269,20037,0.15018923659189515,0.05603876739562624,0.6826758147512865,0.5632669217574878,0.657646701124962,0.08688051079355427,0.0019002736394040742,0.11067193675889328,0.12040133779264214,0.08756106726794438,0.1401728673431041,0.33458599523988475
